letter of the alphabet	ï»¿aabaa
mega-city	dirbojaa
director	direkteera
down-town	dirgabaa
warp	dirii
stretched out	diriiraa
extension	diriirsa
extension of field	diriirsa badhee
extension of an algebraic structure	diriirsa caasaa aljeebraa
extensor	diriirsituu
to stretch	diriirsuu
flat	diriirtoo
alluvial plain	diriirtoo dalalii
a seaport city	dirmalkee
scar	dirmammuu
capital city	dirmataa
descendants	diroo
pedigree	dirosanyii
duty	dirqama
subject to insurance obligatory	dirqama beenyaa
compulsory military service	dirqama tajaajila waraanaa
compulsory	dirqii
coercion	dirqisiisa
to coerce	dirqisiisuu
rib	dirra
water surface	dirra bishaanii
earth's crust	dirra lafaa
field	dirree
air-terminal	dirree balali'aa
flat and open ground	dirree ciisaa
race-course	dirree gugsii
sports-field	dirree ispoortii
football field	dirree kubbaa miilaa
training-field	dirree leenjii
airfield	dirree qubata balali'aa
playground	dirree taphaa
tennis-court	dirree teenisaa
level ground	dirree walqixxaataa
battle-field	dirree waraanaa
in public	dirreetti
plane	dirrii
sap	dirritee
sap wood	dirritee mukaa
God's gift	disaasaa
relaxation	disiqa
relaxant	disiqee
saucepan	distii
iron saucepan	distii sibiilaa
clay saucepan	distii suphee
slide	diyaasa
government	dobla
curve	doggee
parallel curves	doggee waltarreee
error	dogoggora
A-error	dogoggora dhumaa
absolute error	dogoggora gonkaa
B-error	dogoggora jalqabaa
grouping error	dogoggora ramaddii
misleading	dogoggorsiisaa
to mislead	dogoggorsiisuu
ploughshare	dogoroo
doctor	doktora
doctor of philosophy	doktora raagumsaa
a small brook	dolooldhittii
seasonal river	dolooldhoo
waterbuck	domsoo
pick	dongoraa
skeleton	donkoo
skeleton of the arm	donkoo harkaa
skeleton of the leg	donkoo lukaa
tripod	donqaa
lens	doo'innee
diverging lens	doo'innee bittimsituu
biconcave lens	doo'innee golbolamee
concave lens	doo'innee golboo
convex lens	doo'innee goolloo
converging lens	doo'innee gurmeessituu
contact lens	doo'innee maxxantuu
compound lens	doo'innee mirroo
mould	doobana
long horn	doobbaa
nettle	doobbii
ignorant	doofaa
torch	dooflii
ignorance	doofummaa
distortion	dookkoo
Dollar	doolara
to amputate	doolchuu
five cents	doolshee
amputation	doolummaa
amputee	dooluu
dull	doomaa
bluntness	doomummaa
to be blunt	doomuu
ship	doonii
passengership	doonii adeemsaa
aircraft carrier	doonii balali'aa
freighter	doonii fe'lisaa
steamship	doonii hurkaa
surface craft	doonii lafayyaa
tramp freighter	doonii marmaartuu
container ship	doonii meeshaa
spaceship	doonii qilleensaa
merchant ship	doonii seedannoo
warship	doonii waraanaa
oil tanker	doonii zayitii
seaman	doonituu
jute sack	dooniyyaa
submarine	doonlimtuu
Crown prince	doonnachicha
Crown princess	doonnachittii
Crown prince	doonnachoo
to become a crown prince	doonnachoomuu
precious stone	dooqa
indigo	dooqee
dent	dooqqoo
a judge who sits one the right side of the chief judge	doorii
same as mana bulmaata batruu	doormii
threat	doorsisa
one who threatens someone	doorsisaa
to threaten	doorsisuu
alms	doortoo
folder	doosee
a guide	doow'achiisaa
to guide	doow'achiisuu
to look at	doow'achuu
looking at	doow'annaa
bird-watching	doow'annaa shimbirroo
observer	doow'ataa
tourist	doow'attu biyyaa
local tourist	doow'attuu biyya keessaa
foreign tourist	doow'attuu biyyalaa
bird-watcher	doow'attuu shimbirroo
visit	doow'ii
high place for observation	doow'iitii
exhibition	doowachiisa
organiser of Scouts	dooyyessaa
to organise as a Girl or Boy scout	dooyyessuu
scout	dooyyoo
Boy Scout	dooyyoo dargaggeeyyii
Girl Scout	dooyyoo shamarranii
motor bike	doqdoqqee
ebony	doqonuu
dialogue	dorgaandorgee
comparative	dorgii
competitive	dorgommee
competition	dorgommii
swimming race	dorgommii daakkii
round robin	dorgommii marsaa
yachting	dorgommii yabaloo
one who supervises a competition	dorgomsiisaa
competitor	dorgomtuu
yachtsman	dorgomtuu yabaloo
to compete	dorgomuu
annexation	dorraa
pregnancy	dorroba
to be pregnant	dorrobuu
person who is threatened	dorsifamaa
pyramid	dossoo
aggressive	doteessa
aggressiveness	doteessummaa
blue black	dotii
aggression	dottaa
to commit aggression against	dotuu
death	du'a
post-mortem	du'a booda
infant mortality	du'a daa'immanii
maternal mortality	du'a deessuu
dead	du'aa
death	du'aatii
language death	du'aatii afaanii
condolence	du'agayii
obituary	du'imaa
obituarist	du'imtuu
to die	du'uu
ameba	dubara'a
woman	dubartii
womenfolk	dubartoolee
feminine	dubartummaa
vowel	dubbachiiftuu
one who makes someone to speak	dubbachiisaa
to speak	dubbachuu
speaking	dubbannaa
lecture	dubbannoo
to lecture	dubbannoo gochuu
talk	dubbata
speaker	dubbataa
case	dubbee
a bad case	dubbee qonyee
belligerency	dubbi-barbaacha
quarrelsome	dubbi-barbaadaa
orator	dubbi-beekessa
boastful	dubbi-guddaa
one who speaks too much or boasts	dubbi-guddeessa
readable	dubbifamaa
consonantal digraph	dubbifamaa mirree
consonantal trigraph	dubbifamaa sadee
passage	dubbifata
vowel diagraph	dubbiftuu mirree
speech	dubbii
verbal	dubbii afaanii
concrete fact	dubbii argamtii
eloquence	dubbii beekinisa
a serious issue	dubbii cimtuu
appendix	dubbii dabalamaa
amendment	dubbii dabaltii
idiom	dubbii dachaa
metaphor	dubbii fakkeessii
controversial issue	dubbii falamsiisaa
body language	dubbii fuulaa
sign language	dubbii harkaa
catchword	dubbii haxxummaa
just started case	dubbii hoo'ituu
land case in a court	dubbii lafaa
worthwhile thing	dubbii lafee
court case lawsuit	dubbii manseera
empty	dubbii mooyyee
testimony	dubbii naqaashii
a tedious matter	dubbii nuffisiisaa
a correct word	dubbii qajeeltuu
not straight talk	dubbii qaxxaamuraa
useless and meaningless word	dubbii qooftuu
not a serious matter	dubbii qoosaa
broadcasting	dubbii raadiyoo
nonsense	dubbii sigidduu
an important matter or word	dubbii siibessa
a difficult case	dubbii siidaa
idiom	dubbii sokaa
rare news	dubbii takkaataa
confusing news or talk	dubbii wararoo
burning issue	dubbii yaachisaa
underlying principle	dubbii yayyabaa
satire	dubbiqishinaa
reading	dubbisa
announcer	dubbisaa
reading	dubbisii
readership	dubbisummaa
to talk to	dubbisuu
reading and writing	dubbisuu fi barreessuu
girl	dubra
virgin girl	dubra qarree
Miss	dubree
virginity	dubrummaa
to subscribe	duddeeffachuu
subscriber	duddeffattuu
mud	duduba
make to converse	dudubbachiisuu
conversation	dudubbannoo
talkative	dudubbataa
conference	dudubbattoo
walkie-talkie	dudubbiyyee
back	dufkaka
area	dugdoo
mountainside	dugudee
backbone	dugugguruu
backbone of an economy	dugugguruu dinagdee
spineless	dugugugguru-dhablee
spherical shape	dugungula
same as warii	dukkaanii
darkness	dukkana
comedy	dukkanxaboo
same as kabata	dulaaba
old	dullacha
old man	dulloomaa
to grow old	dulloomuu
old age	dulluma
in old age	dulluma keessa
bottle	duloo
killing jar	duloo ajjeeftuu
dropping bottle	duloo coccobsituu
bottle deposit	duloo deebituu
brush	duloo dhiqxuu
safety bottle	duloo eeggii
wash bottle	duloo lolla'iisaa
weighing bottle	duloo madaallii
prayer	duluu
five cents	dumbulloo
a beautiful girl	dumbushee
boxing	dummuca
boxer	dummucaa
to box	dummucuu
Bunsen burner	dungee
candle	dungoo
total	dunneetii
total fertility rate	dunneetii hormaata maakkii
to be disoriented	dunquqaaquu
disorientation	dunquqqii
dizziness	dunquqquu
before	dura
one after the other	duraa duuba
in sequence	duraa duubaan
boss	duraalessa
in advance	duraan dursa
preface	duraandursa
preamble	duraandursa dubbii
priority	duraandursii
preamble	duraandursoo
to make in advance	duraandursuu
main	duraasa
vanguard of a revolution	durabu'aa warraaqsaa
vanguard	durabu'aa
forward	duradubbii
the future	durana
chairman of a party	durataa'a a garee
federal president	durataa'aa atoomaa
president of a country	durataa'aa biyyaa
chairman	durataa'aa
to preside over	durataa'uu
chairmanship	duratessoo
already	duratti
chief	durayeesa
vicar	durayeessa bataskaanaa
elementary school	durayyaa
traditional	durayyii
cousin	durbii
legend	durdurii
first	duree
headmaster	duree barsiiftotaa
stage-manager	duree kolataa
Prime Minister	duree ministeerotaa
national leader	duree sabaa
headwaiter	duree sooyyaa
popular leader	duree uummataa
first steeping of coffee	dureesso
African leaders	dureewwan Afrikaa
bonus	durgoo
formerly	duri
antiquity	duriidurii
old-fashioned	duriitee
ancient	duriitii
drawer	durjii
table-drawer	durjii minjaalaa
to liberalise	durkeessuu
liberal	durkii
liberalism	durkummaa
preposition	durree
pregnant	durrobduu
cloudy	duumessaawaa
to be cloudy	duumessaawuu
cloudiness	duumessessummaa
skyscraper	duumessoqxuu
stillborn	duutee-dhalattuu
illiterate	duuyyaa
illiteracy	duuyyummaa
empty	duwwaa
space	duwwaana
ecosphere	duwwaana olaanaa
spaceman	duwwaanee
vacuum	duwwayyaa
power vacuum	duwwayyaa aangoo
null	duwwee
absolute zero	duwwee gonkaa
to make nil	duwweessuu
vacant	duwwoo
vacancy	duwwooma
friend	ebantaa
fine misty rain	ebelee
vernonia amycrocephala	ebicha
May	Ebla
sampling	eddatteessa
to sample	eddatteessuu
sample	eddattoo
mountain slope	ededa
river terrace	ededa lagaa
escarpment	ededdoo
benediction	eebba
coffee ceremony	eebba bunaa
blessed	eebbifamaa
one who blesses	eebbisaa
spear	eeboo
AIDS	eedsii
immunity	eegama
guard	eegduu
national guard	eegduu biyyaa
archivist	eegduu galmee
palace guard	eegduu masaraa
royal bodyguard	eegduu mootii
tailless	eege-maleessa
tail	eegee
waiting	eeggannaa
attention	eeggannoo
food handling	eeggannoo nyaataa
maintenance	eeggata
immovable bench	eeggataa2
defence	eegumsa
data protection	eegumsa agargoo
wildlife sanctuary	eegumsa bineeyyii
national defence	eegumsa biyyaa
forestry	eegumsa bosonaa
veterinary	eegumsa fayyorii
sanitation	eegumsa qulqullinaa
protection of birds	eegumsa shimbirroo
people's defence	eegumsa uummataa
to wait for	eeguu
normal rain	eekkee
well	eela
artesian well	eela gugseessa
salt-well	eela soogiddaa
oil well	eela zayitii
internal injury of an organ of a body due to an accident or hard work	eelaa
baking pan	eelee
iron griddle	eelee sibiilaa
clay griddle	eelee suphee
frying pan	eelee waaddii
undergrowth in crops	eengee
undergrowth	eengoo
identity	eenyummaa
personal identity	eenyummaa namaa
national identity	eenyummaa sabaa
identity card	eenyummeessaa
a hint	eera
allusion	eerima
fictional allusion	eerima asoosamaa
historical allusion	eerima seenaa
informer	eertuu
compass	eertuu balali'aa
compass	eertuu doonii
direction indicator	eertuu karaa
to indicate	eeruu
oats	eesa
maternal uncle	eessuma
affirmation	eeyyessa
affirmative	eeyyessaa
one who affirms	eeyyessituu
positivity	eeyyessummaa
to affirm	eeyyessuu
the future	egeree
Jupiter	Ejabula
olive tree	ejersa
harlot	ejjituu
ghost	ekeraa
one who communicates with spirit of the dead	ekerdubbiftuu
ghosthood	ekerummaa
plant	elama
electron	elektiroona
electronics	elektiroonika
cowrie shells	elellaa
new moon	elellee
fruit	elemee
same as dursiitee	elementii
ram	elemoo
electric	eletrika
electrification	eletrikoomsa
milk cow	elmamtuu
same as mana lamii	embasii
tense	ennayyaa
past tense	ennayyaa dabree
future tense	ennayyaa egeree
simple past	ennayyaa qaatee
present tense	ennayyaa si'amaree
present tense	ennayyaa si'anee
present continuous tense	ennayyaa si'arraa
enzyme	enzaayima
exo-enzyme	enzaayima aloo
apron	erbeeta
registered letter	erga-yabboo
message	ergaa
verbal message	ergaa afaanii
obituary	ergaa du'aa
a message by a letter	ergaa poostaa
air letter	ergaa qilleensaa
mission	ergama
peace mission	ergama nagaa
"civilizing mission"	ergama qaroomsii
consul	ergamaa biyyaa
government delegate	ergamaa mootummaa
angel	ergamaa Waaqaa
apostle	ergamaa
delegation	ergamtoota
letter	ergannaa
a letter of invitation	ergannaa afeerraa
representative	ergannoo
government representative	ergannoo mootummaa
deterioration	ergarama
feeble	ergaramaa
to deteriorate	ergaramuu
sender	ergataa
to borrow	ergifachuu
borrower	ergifataa
errand	ergii
borrowed	ergisaa
to send	erguu
transport animals	fa'ilee
factory	faabrikaa
brewery	faabrikaa biiraa
beverage factory	faabrikaa dhugaatii
textile factory	faabrikaa uffiyyaa
mounted trophy	faacha
fermentation	faacitoo
trumpet	faaggaa
an instrument used for distilling araqee	faaggaa araqee
faaggaa used to start fire	faaggaa ibiddaa
an auto horn	faaggaa konkolaataa
stove-pipe	faaggaa moofoo
pipe	faaggaa sibiilaa
trumpet	faaggaa sirbaa
pipe	faaggee
water-pipe	faaggee bishaanii
soil pipe	faaggee biyyee
auditory pipe	faaggee gurraa
drain pipe	faaggee yaatoo
oil pipe-line	faaggee zayitii
conduit	faaggoo
flag	faajjii
red flag	faajjii diimaa
yellow flag	faajjii keelluu
national flag	faajjii sabaa
faculty	faakaltii
fax	faaksii
to fax	faaksii gochuu
fax machine	faaksituu
slander	faala
state	faalkaa
state of matter	faalkaa wanneetaa
opposite	faallaa
acid resistant	faallaa dhangaggee
contradiction	faallayyaa
social contradiction	faallayyaa gamtaa
class contradiction	faallayyaa gita
national contradiction	faallayyaa sabaa
direction	faallee
social direction	faallee gamtaa
clockwise direction	faallee sa'aatii
contour direction	faallee sararroo
opposition	faallessa
one who opposes	faallessaa
to contradict	faallessuu
pollution	faallii
water pollution	faallii bishaanii
chemical change pollution	faallii geeddarama kemikaalaa
thermal pollution	faallii holakee
air pollution	faallii qilleensaa
noise pollution	faallii waacilaa
inflation	faallisa
antonyms	faalloo
pollutants	faaltota
one who slanders	faaltuu
to blacken the name of someone	faaluu
sole of foot	faana
follower	faana bu'aa
to follow	faana bu'uu
to follow	faana deemuu
to follow the track of	faana dhawuu
stirrup	faanaa
permission	faanchoo
tracer	faanessaa
stepping stone	faannee
rebellious	faannomaa
rebelling	faannommii
rebellion	faannomummaa
to become a rebel	faannomuu
rebel	faannoo
partisan	faannoo biyyaa
urban guerrilla	faannoo magaalaa
rung	faanoo
lantern	faanosii
page	faanshaa
bellboy	faanshaa hoteelaa
office boy	faanshaa waajjiraa
maid servant	faanshatee
servant	faanshoo
follower	faantuu
to be in bad condition	faara dhabuu
to be in good condition	faara qabaachuu
clay	faara1
prospect	faara2
popular	faarfamaa
psalm	faarfannoo
psaltery	faarfannoo Daawit
hymn	faarfata
Persia	Faarisa
a Persian man	faarisicha
praise	faarsa
song that praises women	faarsa dubartii
one who praises	faarsaa
a Persian woman	faarsittii
anthem	faarsoo
national anthem	faarsoo sabaa
to praise	faarsuu
praise	faaruu
same as ammayyoo	faashine
fascist	faashisticha
fascist	faashistii
faschism	faashistummaa
flaask	faashkoo
filtering flask	faashkoo calaltuu
boiling flask	faashkoo damfisaa
round bottomed flask	faashkoo jalgiingoo
Easter	faasigaa
majesty	faatii
to be half-swampy	faawuu
half-swampy place	faawwoo
receding forehead	faaxuu
ornament	faaya
rhetoric	faaya dubbii
tooth-ornament	faaya ilkaanii
souvenir	faaya yaadannoo
arts	faayata
imitative arts	faayata akkeessa
modern arts	faayata ammayyaa
popular arts	faayata uummataa
artless	faayata-dhablee
artistic	faayata-qabeessa
artistry	faayatooma
aesthetic	faayee
artist	faayessaa
to over-refine	faayessuu
to sow	facaasuu
defending one self with a stick	faccee
to fight back	faccisuu
cure	fadaa
curable	fadamaa
healer	fadduu
to cure	faduu
reality	faduula
fact	faduullee
defective	fafa
to be defective	fafaawuu
hypocrisy	fafakeessoo
a show up person	fafakkeessituu
dispersal	faffaca'a
dispersal of seed	faffaca'a sanyii
deformity	fafummaa
prediction	faga
buttocks	fagaara
forecast	fagdii
distance	fageenya
eyeshot	fageenya ijaa
ground distance	fageenya lafarraa
distance between points	fageenya qabxiiwwan jidduu
judging distance	fageenya tilmaamuu
distance between lines	fageenya xurreewwan jidduu
to make far	fageessuu
telephoto	fagokaaftuu
television	fagomuldhiftuu
myopia	fagonagarree
far	fagoo
waste material	fagulloo
to predict the future	faguu
gaze	fajaja
one who stares vacantly	fajajaa
to gaze at	fajajuu
to resemble	fakkaachuu
camera	fakkaaftuu
video camera	fakkaaftuu biidiyoo
telecamera	fakkaaftuu tiibii
resemblance	fakkaannoo
image	fakkaattii
optical image	fakkaattii agartii
real image	fakkaattii dhugee
virtual image	fakkaattii dhugee
erect image	fakkaattii ijaajjee
character	fakkaattoo
sufficient	fakkannee
sufficiency	fakkansa
to be sufficient	fakkanuu
figure	fakkee
example	fakkeenya
case study	fakkeenya addayyaa
virtual image	fakkeenya dhugee
for example	fakkeenyaaf
imitation	fakkeessa
analogue	fakkeessoo
to make similar	fakkeessuu
appearance	fakkii
programme application icons	fakkii qopphii
imagery	fakkiyaada
symbolism	fakkiyyaa
pornography	fakko-kormaataa
cinematograph	fakko-sinimaa
photocopy	fakkobarruu
photo	fakkoo
cartoon	fakkoo akkeessaa
to develop photos	fakkoo dhiquu
colour photo	fakkoo halluu
to take a picture	fakkoo kaasuu
cartoon	fakkosochee
image	fakkuu
solution	fala
to create difficulty	fala fiduu
litigation	falamaa
court case	falamaa lafaa
debate	falammoo
controversial	falamsiisaa
polemic	falamtii
azure sky	falaqa
same as raagumsa	falasama
same as raagumsa	falassama
spoon	faldhaana
spoon made of horn	faldhaana gaafaa
table-spoon	faldhaana koosaraa
shoehorn	faldhaana kophee
a spoon used for eating porridge	faldhaana marqaa
silver spoon	faldhaana meetii
table-spoon	faldhaana mooqaa
wood-spoon	faldhaana mukaa
tea-spoon	faldhaana shaayii
metal-spoon	faldhaana sibiilaa
tea-spoon	faldhaanee
sorcery	falfala
sorcerer	falfalaa
litigious	falmamaa
self defense against charges or argument	falmannaa
defense	falmannoo
claimant	falmataa
controversy	falmii
to litigate	falmuu
cattle dung	faltii
to devise	faluu
excursion	fandalala
picnic	fandalala boqotaa
drive	fandalala konkolaataa
walk	fandalala miilaa
walker	fandalalaa
picnic	fandalaltii
to take a walk	fandalaluu
crucifixion	fannifama
hangman	fannisaa
to hang	fannisuu
hanger	fannoo
Red Cross	fannoo diimaa
flagpole	fannoo faajjii
hanger for different instruments	fannoo miyaa
clothes hook	fannoo uffataa
syphilis	fanxoo
to get infected with syphilis	fanxoo fuudhuu
syphilitic	fanxooftuu
flirtation	fara'a
flirt	fara'aa
to flirt	fara'uu
coins	faraankaa
ten cents	faraankaa guddaa
five cents	faraankaa xinnaa
Fahrenheit	faranaayitii
the European	Faranjicha
European	Faranjii
France	Faransaa
a measure of 17 kilogram	farasillaa
horse	farda
four years old horse	farda arfacha
mare	farda dhalaa
sterile mare	farda dhankaakaa
jade	farda ganyaa
race-horse	farda gugsii
a hired horse	farda kiraa
gelding	farda kolaa
male horse	farda kormaa
two years old horse	farda lammacha
not tamed horse	farda mandiidaa
brood mare	farda qalaamaa
mare in foal	farda rimaa
theatre	fareersa
detective play	fareersa yakkii
actor	fareersaa
anti	farra-
germicide	farra- lubbiyyoo
herbicide	farra-aramaa
anti-aircraft	farra-baluunaa
anti acid	farra-dhangaggee
pesticide	farra-dhollee
anti-inflation	farra-faallisaa
anti-feudalism	farra-fudaalummaa
anti-depressant	farra-gommayyaa
antisocial	farra-hawaasaa
anti-constitutional	farra-heeraa
insecticides	farra-ilbiisee
anti-human	farra-ilma namaa
anti-imperialism	farra-istimaaraa
antifreeze	farra-ititaa
larvicide	farra-jiisaa
antibiotic	farra-jiree
anti-tank	farra-karkarroyyaa
counterespionage	farra-keettoo
antiperspirant	farra-laqdaa
anti-government	farra-mootummaa
antibody	farra-qaama alagaa
antibody A	farra-qaama alagaa A
antibody B	farra-qaama alagaa B
bullet-proof	farra-rasaasaa
antitoxin	farra-summii
contraceptive	farra-ulfaa
anti-people	farra-uummataa
antimatter	farra-wanneetaa
anti-war	farra-waraanaa
anti-revolution	farra-warraaqsaa
antonym	farrayyaa
alcoholic	farshaanaa
alcoholism	farshaanummaa
alcohol	farshoo
local home made beer	farsoo
European beer	farsoo Faranjii
one who nullifies	fashaalaa
nullified	fashaalamaa
nullification	fashaaltii
to nullify	fashaaluu
super power	fatansa
toad	fattee
private car	faturaa
stiffness	faxama
to become stiffish	faxamuu
useless	fayida-dhabeessa
advantageous	fayida-qabeessa
1) advantage	fayidaa
usefulness	fayidummaa
to be useful	fayiduu
unhealthy	fayya-dhabeessa
healthy	fayya-qabeessa
health	fayyaa
basic health	fayyaa bu'uraa
fitness	fayyaa guutuu
healthy	fayyaalessa
sanatorium	fayyeeffata
recovery	fayyii
salvation	fayyina
messiah	fayyisaa
to cure	fayyisuu
health	fayyummaa
to healthy	fayyuu
special needs	feddhii addayyaa
same as atooma	federeeshina
will	fedhii
free will	fedhii bilisaa
basic needs	fedhii bu'uraa
human interest	fedhii ilma-namaa
common interest	fedhii wajjummaa
safety razor	feellaa
same as dhaabbii otobusii	fermaataa
implication	fida
bi-implication	fida dachaa
trousers	fiddoo
amateurish	fidhiin hojjataa
pepper	fifishoo
corridor	figattuu
sea corridor	figattuu galaanaa
assassination	figgimsa
assassin	figgimsaa
to assassinate	figgimsuu
runner	fiigaa
running	fiigicha
Olympic race	fiigicha olompiyaa
cross-country race	fiigicha qaxxaamura biyyaa
hurdle-race	fiigicha utaalchoo
referee	fiigsisaa
to run	fiiguu
germination	fiila
germinated	fiilaa
shoot	fiilee
cotyledon	fiilloo
dicotyledon	fiilloo lamee
mono-cotyledon	fiilloo tokkee
to germinate	fiiluu
to meditate	fiiruu
same as furiyyoo	fiishkaa
physics	fiisika
modern physics	fiisika ammayyaa
geophysics	fiisika dachee
applied physics	fiisika hojjatii
agricultural physics	fiisika qonnaa
physicist	fiisiktuu
a small object	fiitii
goal	fiixa
remote relatives	fiixaa
to achieve	fiixan baasuu
achievement	fiixan baylisa
highest point	fiixee
nerve ending	fiixee aarsituu
nipple	fiixee harmaa
root apex	fiixee hundee
shoot apex	fiixee lashoo
apical bud	fiixee latoo
finger-tip	fiixee qubaa
summit	fiixee tulluu
arrow-head	fiixee xiyyaa
kinship	fiixoma
salary	fijaa
a daily pay	fijaa guyyaa
a monthly pay	fijaa ji'aa
an hourly pay	fijaa sa'aatii
weekly pay	fijaa torbee
seasonal payment	fijaa yeroo
salaried worker	fijaawaa
comb	filaa
alternative	filachiisa
select	filamaa
social selection	filamaata gamtaa
natural selection	filamaata uumamaa
combing	filannaa
option	filannoo
wording	filannoo jechaa
elector	filataa
candidature	filatummaa
a small decorated comb 2) a cow which has long horns	filee
gap-toothed	filfillee
a splinter	filida
hair-do	filii
choice	filmaata
general election	filmaata dhimshaashaa
female suffrage	filmaata dubartii
women's suffrage	filmaata dubartii
presidential election	filmaata harbooraa
secret ballot	filmaata iccitii
primary election	filmaata jalqabbee
election for the parliament	filmaata mana marii
film-maker	filmeessaa
filmography	filmeessii
to film	filmeessuu
television film	filmi-tiibii
film	filmii
blue film	filmii cuqulee
fantasy film	filmii dareenaa
surface film	filmii diriirtoo
photographic film	filmii fakkoo
colour film	filmii halluu
to film	filmii kaasuu
feature film	filmii kolatii
horror film	filmii shororkaa
crime film	filmii yakkii
detail	filqii
in detail	filqiin
person who describes things item by item	filqoomsa
to detail	filqoomsuu
to comb	filuu
finance	finaansii
cascade	fincaa'attii
urine	fincaan
haematuria	fincaan dhiigaa
semen	fincaan kormaa
waterfall	fincaawaa
to urinate	fincaawuu
polyuria	fincadanee
nycturia	finceessa halkanii
uprising	fincila
a nation-wide uprising	fincila biyyaa
the February uprising	fincila Guraandhalaa
workers' uprising	fincila hojjattuu
national uprising	fincila sabaa
people's uprising	fincila uummataa
insurgent	fincilaa
ring-leader of rebellion or of a mutiny	fincilchiisaa
subversion	finciltii
mutiny	finciltii loltuu
rebelliousness	fincilummaa
to rise	finciluu
chellenge	findhara
search	findiga
one who searches	findigaa
to search	findiguu
oral tradition	findurii
a place which has serveral springs 2) a fountain of hot mineral water 3) the old Oromo name for Addis Ababa	finfinnee
sprinkler	finfinneessaa
garden sprinkler	finfinneessaa shuquntuu
atersian well	finfintuu
intensifying	finiina
intense	finiinaa
intensified	finiinfamaa
persperation	finiinnoo
transpiration	finiinnoo baalaa
to intesify	finiinsuu
climax	finiintii
to be intesified	finiinuu
fertility 2) livelihood	finna
to be nutritious	finnaawuu
nutrional value	finnii
pimples	finniisa
small pox	finnoo
lever	finqilchaa
relative	fira
blood relative	fira dhiigaa
lover of the fine arts	fira faayataa
supporter of a revolution	fira warraaqsaa
same as afattoo	firaasha
scattering 2) disperse 3) sprinkle	fireena
sprinkler	firfirsituu
fire extinguisher	firfirsituu bishaanii
to scatter 2) to disperse 3) to sprinkle	firfirsuu
same as qabbaneessituu	firiijii
luxury	fiririqa
person who leads a luxurious life	fiririqaa
extravagant	fiririqqee
to lead a luxurious life	fiririquu
same as mallattoo	firmaa
to sign	firmeessuu
friendship	firooma
collateral line	firooma aantee
natural relationship	firooma dhalootaa
consanguinity	firooma dhiigaa
affinity	firooma warroommii
matching	firoomsii
to relate	firoomsuu
dicotyledon	firqii
kinship	firummaa
relationship by blood	firummaa dhiigaa
resistance	fittisa
heat resistance	fittisa hoo'inaa
drug resistance	fittisa qorichaa
resistant	fittisaa
to resist	fittisuu
consumption	fixayyaa
dew	fixeensa
condensation	fixeensawa
pilot	fixirsiisaa
to make fly	fixirsiisuu
to fly	fixiruu
snuff	fixxii
consumer	fixxuu
primary consumer	fixxuu jalqabbee
Fiat	fiyaatii
e.g.	fkn
window	foddaa
rear window	foddaa duubaa
French window	foddaa Faransaa
round window	foddaa golollee
window	foddaa konkolee
oval window	foddaa luggee
windowless	foddaa-maleessa
gorge	fodooddoo
ocean ridge	fodooddoo maanyaa
wood	folka
chip 2) cast	folloqa
chipped 2) rived	folloqaa
cast	folloqsa
to chip 2) to cast	folloqsuu
surplus	fonoggoo
moisture surplus	fonoggoo jiidhinaa
uprooting	fonqolcha
riverside	fooda
windward-side	fooda bubbee
smell	foolii
odourless	foolii-dhablee
same as torobbee	foolisii
meat 2) fish 3) pulp	foon
boiled meat	foon affeellii
cutlet	foon baxxee
pork	foon booyyee
raw and red meat	foon dheedhii
mutton	foon hoolaa
gum	foon iikaanii
chicken	foon indaanqoo
veal	foon jabbii
bacon	foon jajii
beef	foon loonii
beefsteak	foon luggee
chicken	foon lukkuu
tinned meat	foon qorqoorroo
fish	foon qurxummii
roasted meat	foon waaddii
a kind of roasted meat	foon waxalaa
fleshless	foon-dhablee
lambing pen	foonaa dhalmaa
carnivore	foonee
carnivorous	foonin-bultuu
upstairs	fooqii
ground floor	fooqii duraa
down-stairs	fooqii gadii
upstairs	fooqii olii
two-storied	fooqlamee
satellite camp	fooraa
Ford	foordii
whistling	foorica
whistler	fooricaa
one who takes animals to fooraa	foortuu
photographer	footokaaftuu
same as fakkoo	footoo
spindle	footuu
shawl	fooxaa
bath towel	fooxaa dhiqannaa
hand towel	fooxaa harkaa
scarf	fooxaa mormaa
shirts	fooyituu
elders who are chosen to help in solving disputes and conflicts	fooyyee
amendable	fooyyeffamaa
reconsideration	fooyyessa
amendment	fooyyessaa
person who amends	fooyyessituu
to amend	fooyyessuu
betterment	fooyyina
a little bit	foqoo
a little bit of milk	foqoo aannanii
a little bit of water	foqoo bishaanii
sliding	foqoqqii
to rest	forfachuu
leisure	forfata
one who rests	forfataa
European cheese	formajoo
fats	foroo
phosphate	forsfeeta
land slip	fottoqa
crust	fottoqa biyyee
rock slide	fottoqa kattaa
landslide	fottoqa lafaa
stream erosion	fottoqa lagaa
cycle of erosion	fottoqa marsiyyaa
faction	fottoqqee
rock fall	fottoqqoo
dismantling	fottoqsii
to dismantle	fottoqsuu
secession	fottoqxaa
secessionist	fottoqxuu
selector	fowattuu
to separate	fowuu
feudal	fudaala
feudalism	fudaalummaa
to receive	fudhachuu
receiving	fudhannoo
calorie intake	fudhannoo hoo'illaa
nutrient intake	fudhannoo sooree
receive	fudhataa
dosage	fudhattii
vegetarian	fudira-nyaattuu
vegetable	fudiraa
